,English,Meaning
1662,declare,state emphatically and authoritatively
1663,outside,the region that is outside of something
1664,appreciate,be fully aware of; realize fully
1665,actual,existing in fact
1666,bottle,a vessel used for storing drinks or other liquids
1667,hardly,almost not
1668,setting,the physical position of something
1669,launch,propel with force
1670,dress,put on clothes
1671,file,record in a public office or in a court of law
1672,sick,affected by impairment of normal physical or mental function
1673,outcome,something that results
1674,ad,a public promotion of some product or service
1675,defend,protect against a challenge or attack
1676,matter,that which has mass and occupies space
1677,judge,an official who decides questions before a court
1678,duty,the social force that obliges you to behave in a certain way
1679,sheet,any broad thin expanse or surface
1680,ensure,make certain of
1681,Catholic,of or relating to or supporting Catholicism
1682,extremely,to the greatest possible degree
1683,extent,the point or degree to which something extends
1684,component,one of the individual parts making up a larger entity
1685,mix,mix together different elements
1686,long-term,relating to or extending over a relatively long time
1687,slow,not moving quickly; taking a comparatively long time
1688,contrast,the opposition or dissimilarity of things that are compared
1689,zone,an area or region distinguished from adjacent parts
1690,wake,stop sleeping
1691,challenge,a call to engage in a contest or fight
1692,airport,an airfield equipped with control tower and hangars as well as accommodations for passengers and cargo
1693,chief,the head of a tribe or clan
1694,brown,of a color similar to that of wood or earth
1695,standard,a basis for comparison
1696,shirt,a garment worn on the upper half of the body
1697,pilot,someone who is licensed to operate an aircraft in flight
1698,warn,"notify of danger, potential harm, or risk"
1699,ultimately,as the end result of a succession or process
1700,cat,feline mammal usually having thick soft fur
1701,contribution,a voluntary gift made to some worthwhile cause
1702,capacity,capability to perform or produce
1703,estate,extensive landed property retained by the owner
1704,guide,someone employed to conduct others
1705,circumstance,the set of facts that surround a situation or event
1706,snow,precipitation falling from clouds in the form of ice crystals
1707,English,of or relating to England or its culture or people
1708,politician,a leader engaged in civil administration
1709,steal,take without the owner's consent
1710,pursue,follow in an effort to capture
1711,slip,"move obliquely or sideways, usually in an uncontrolled manner"
1712,percentage,a proportion in relation to a whole
1713,meat,the flesh of animals used as food
1714,funny,an account of an amusing incident
1715,neither,not either; not one or the other
1716,soil,material in the top layer of the surface of the earth
1717,influence,a power to affect persons or events
1718,surgery,science treating disease or injury by operative procedures
1719,correct,free from error; especially conforming to fact or truth
1720,Jewish,of or relating to Jews or their culture or religion
1721,blame,an accusation that one is responsible for some misdeed
1722,estimate,judge tentatively
1723,due,that which is deserved or owed
1724,basketball,a game played on a court by two opposing teams of 5 players
